d,betaprime,total time,total cost
3,2,0.0013331041666666665,0
4,2,0.00118575,0
5,2,0.001276333333333334,0
6,2,0.001351979166666667,0
7,2,0.0013311249999999992,1
8,2,0.0012234375,1
9,2,0.0013173958333333336,3
10,2,0.0014826666666666666,4
11,2,0.0013089166666666668,9
12,2,0.0013768749999999996,15
13,2,0.0013139166666666664,24
14,2,0.0025468958333333333,31
15,2,0.0013543333333333335,55
16,2,0.001624479166666667,71
17,2,0.0014813333333333334,110
18,2,0.0016426458333333328,175
19,2,0.0015794583333333335,267
20,2,0.0016961666666666672,365
21,2,0.001607749999999999,511
22,2,0.0017138333333333344,682
23,2,0.0016556875,1226
24,2,0.001827041666666667,1684
25,2,0.001786145833333334,3020
26,2,0.0019962291666666666,3113
27,2,0.0019763749999999994,4888
28,2,0.002161791666666668,6118
29,2,0.0020258958333333327,6947
30,2,0.002195562500000001,5953
31,2,0.002356375,11654
32,2,0.0024157708333333336,9930
33,2,0.002568020833333333,16526
34,2,0.0029750208333333334,22639
35,2,0.0026523541666666657,18274
36,2,0.0028288749999999994,20425
37,2,0.0032410625000000013,32353
38,2,0.004346145833333335,57545
39,2,0.0054984583333333335,84354
40,2,0.005224979166666669,78979
41,2,0.011342395833333333,234606
42,2,0.011705104166666666,255412
43,2,0.014606333333333332,330230
44,2,0.015259791666666663,360622
45,2,0.03286454166666666,882682
46,2,0.03451387499999999,1022234
47,16,0.03669272916666667,467517
48,16,0.0353206875,483307
49,22,0.04090460416666668,649023
50,26,0.04475443749999997,767320
51,24,0.05526031250000001,1196238
52,26,0.061172958333333326,1354645
53,32,0.08007472916666668,1926743
54,30,0.08628960416666669,2112895
55,36,0.12221006250000004,3232082
56,36,0.14301729166666668,3910338
57,40,0.29007437499999994,7993917
58,38,0.35229643749999995,10052464
59,36,0.3484344166666668,9758240
60,38,0.3801083749999999,10702767
61,38,0.5606582916666667,15784318
62,38,0.6485880625000001,17843461
63,36,1.0373966875000002,29101891
64,38,1.0193172916666666,27611266
65,40,1.528046875,43879380
66,38,1.8237610625,50357803
67,50,2.813975125,63846530
68,52,3.226528,73276889
69,50,4.807696125,103871624
70,48,4.7014204374999995,101818739
71,50,6.9341490625,155046890
72,54,7.160828437500001,159888392
73,54,9.7772169375,213520153
74,52,11.86255575,276074366
75,52,17.607691125,365260326
76,56,19.471845437499997,466486503
77,56,26.042331187500004,630673077
78,60,33.508453874999994,785518915
79,56,50.31685106249999,1238818850
80,58,67.3971269375,1700708858
81,58,88.5195880625,2344410000
82,58,117.06186062500001,2859696264
83,58,162.8139685,4120769500
84,60,179.74287843750002,4361575441
85,60,298.040309375,7030425533
86,60,333.51783450000005,7707674757
87,60,637.2210074999999,15176383836
88,62,638.1507991875,14540252611
89,62,1003.1103158750001,23166854972
90,62,1232.7929577500001,27872390721
91,68,2282.9190159375003,49168822274
92,70,2846.311983125,61879292069
93,68,4525.1754543125,94352048008
94,72,4723.265977125,103298662625
95,72,7385.366562125,165093702036
96,74,9160.319934250001,200293155930
97,74,13197.48758875,298289229871
98,74,16782.2974443125,376097090946
99,76,26598.126666625005,598147229672
100,76,30126.973312124996,662642373294
