d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,66,64,2,0.9849122498461097
5,2,127,125,2,0.9849122498461097
6,2,219,216,3,0.9700440157282773
7,2,348,343,5,0.9700440157282773
8,2,519,512,7,0.9553922311963401
9,2,738,729,9,0.9553922311963401
10,2,1012,1000,12,0.9409538707767322
11,2,1343,1331,12,0.9409538707767322
12,2,1744,1728,16,0.9267259494496697
13,2,2224,2197,27,0.9267259494496697
14,2,2771,2744,27,0.9127055221327641
15,2,3418,3375,43,0.9127055221327641
16,2,4172,4096,76,0.8988848870051429
17,2,5006,4913,93,0.898563945412092
18,2,5947,5832,115,0.8848268923074761
19,2,6995,6859,136,0.8755994006923118
20,2,8158,8000,158,0.8648494602907165
21,2,9426,9261,165,0.697866632240146
22,2,10852,10648,204,0.8204477400663792
23,2,12421,12167,254,0.8230402338028687
24,2,14068,13824,244,0.7125169103413801
25,2,15960,15625,335,0.759567696498263
26,2,17964,17576,388,0.511257690780031
27,2,20332,19683,649,0.5235976527321956
28,2,22378,21952,426,0.5157035058019582
29,2,25418,24389,1029,0.5308752617903795
30,2,27814,27000,814,0.5280963608434774
31,2,31108,29791,1263,0.5093973804239081
32,2,33674,32768,906,0.5115969943105225
33,2,38070,35937,2133,0.551700641936538
34,3,42514,40173,2341,0.5493661964072922
35,3,50963,43772,7191,0.5270398171989604
36,3,53591,47581,5922,0.5094236108049046
37,3,61914,51606,10308,0.5521863000822547
38,3,64157,55853,8304,0.5346341726479118
39,3,83319,60328,22991,0.5215158318540658
40,3,77704,65037,12666,0.5254228210403973
41,3,96819,69986,26833,0.5394978173717161
42,7,171847,87019,84828,0.5110681540208155
43,7,199480,92786,105108,0.5072114564213103
44,7,161952,98810,60677,0.5046510952915745
45,14,374702,188134,186568,0.5103276229107586
46,14,352376,197116,155260,0.5123479413182218
47,22,714587,440212,274375,0.5138033935647099
48,22,621916,457833,164083,0.5296802015851059
49,22,785454,475743,296987,0.5043045307884224
50,22,957646,493946,457694,0.5078028564667492
51,30,1337482,938187,399295,0.5141847676198893
52,31,1596539,1046425,550114,0.5178281958721093
53,33,1848431,1234574,598634,0.5071130164750258
54,33,2067254,1281232,786022,0.5143543597130666
55,38,2668024,1854483,813541,0.5134040700442635
56,38,2970124,1927881,974815,0.502000153138375
57,38,3811738,2001616,1808705,0.5098700197462245
58,40,4520623,2352232,2168391,0.5102904414996446
59,40,6247553,2440203,2587915,0.4367962985532465
60,40,6839744,2528527,2653017,0.4174896217464392
61,44,9896296,4368723,4349658,0.4665781953213545
62,44,11141457,4542022,4463736,0.4381993769593952
63,46,17177890,8356073,7787345,0.4884915325253094
64,46,18750144,8720547,8116549,0.4730069500296104
65,46,26525543,9085404,9010240,0.3853148517094192
66,46,34828053,9450651,9712680,0.3246365547999509
67,46,44790645,9816294,10547909,0.27698600709530713
68,46,54374634,10182339,11323109,0.24582705296080792
69,48,83888406,16840889,17955732,0.25613452210578885
70,48,90837322,17477296,18780417,0.2477853657254942
71,48,133433139,18114123,21077056,0.18902726230600586
72,48,148455836,18751377,21419403,0.1755393782869055
73,54,228584410,51711784,50983004,0.27420128572773056
74,54,248719328,53795246,53399414,0.26467605342286926
75,56,378819772,74537311,74751250,0.24506458187963379
76,56,422235351,77524536,78378635,0.23155956419408386
77,56,621597959,80512216,88255050,0.1760771813552263
78,56,693916307,83500359,91848846,0.16494690872596823
79,56,1106879624,86488969,105500693,0.11638288223252198
80,56,1231169439,89478054,108672314,0.10846446541947981
81,58,1943698431,130521228,164338701,0.10256582137935688
82,58,2187384586,135061778,165671525,0.09341922695745603
83,58,3407449621,139602821,189028636,0.06648572611911444
84,58,3967029463,144144361,195102366,0.059179800035658904
85,62,6184032532,317008147,397616470,0.07912821139072787
86,62,6997999603,328171535,409959013,0.0724812466543571
87,62,11387881922,339335440,470178021,0.049444610572055084
88,62,12922305401,350499866,487281866,0.04519491238512389
89,64,20378493118,565527097,780175901,0.04601409481107195
90,64,23108115651,584301272,809887540,0.04212572911523843
91,64,38002875898,603075987,915083493,0.028095069936134042
92,64,45427168326,621851248,954807782,0.02445454355413093
93,64,78112196087,640627060,1077976320,0.0155724074227382
94,64,88996603616,659403431,1116149561,0.01413110263908596
95,70,145252029644,2703103558,3862818974,0.031731662262523636
96,70,168005284039,2793968240,3995178514,0.028415169582769663
