beta,bkzrho,bkzdelta,procrastbkzrho,procrastbkzdelta
2,-0.003440093580293535,1.000860393321234,-0.011569632331175939,1.0028965951309634
3,-0.022248622187492677,1.0055776530538953,-0.02028023685573349,1.0050829337131115
4,-0.04420335694791082,1.0111121253070168,-0.03651602150307105,1.0091708018352281
5,-0.055586651568635424,1.0139936703510475,-0.04982461387725443,1.0125340544618227
6,-0.056132185493578776,1.014131971768561,-0.05344550501236294,1.0134510383320006
7,-0.057772140089927274,1.0145478396103846,-0.05547939980133107,1.0139664825622463
8,-0.06231059267348677,1.0156996122109467,-0.05968590495207426,1.015033357248551
9,-0.06388254667815263,1.0160988489217648,-0.06194282892429928,1.0156062321293797
10,-0.06076288106450033,1.0153066857126962,-0.059614280963044185,1.0150151822267612
11,-0.06309165155886348,1.0158979618774104,-0.061642701635279684,1.0155300322018352
12,-0.06353784432159774,1.0160112897776206,-0.06248462494335889,1.0157438042995512
13,-0.0637883312654049,1.0160749161605094,-0.06291305737248554,1.0158526045225018
14,-0.06148678196199095,1.0154904476956317,-0.06077517355260274,1.0153098058788292
15,-0.06233962796260999,1.0157069850206812,-0.06161493796841916,1.0155229835169222
16,-0.06073119453851511,1.0152986428591326,-0.06012934681949686,1.015145890558042
17,-0.06232554403750142,1.0157034087417,-0.061693467950662294,1.0155429209630982
18,-0.06082225686987702,1.0153217569875967,-0.06034924486585992,1.0152016992415822
19,-0.06125611313127862,1.015431888885567,-0.06081102964544095,1.015318907180286
20,-0.060261107199049375,1.0151793301107503,-0.05984966277225111,1.0150749130116778
21,-0.062142705439036,1.0156569823558472,-0.06166626432946519,1.015536014375351
22,-0.058601066130979124,1.0147581076777532,-0.0579894389454188,1.0146029561285628
23,-0.0593467158091449,1.0149472888241644,-0.05885273215298209,1.0148219547203121
24,-0.059116917170179764,1.0148889821226323,-0.058693445572949685,1.014781543645308
25,-0.05912806182617899,1.0148918097737172,-0.05875164985659918,1.0147963099109423
