d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,127,125,2,0.5115806393178025
5,2,219,216,3,0.9849122498461097
6,2,347,343,4,0.5314140349004942
7,2,519,512,7,0.9700440157282773
8,2,1007,1000,7,0.5390961855413969
9,2,1344,1331,13,0.9553922311963401
10,2,1741,1728,13,0.5153929179824572
11,2,2220,2197,23,0.9409538707767322
12,2,3399,3375,24,0.5224136401429256
13,2,4141,4096,45,0.9267259494496697
14,2,4961,4913,48,0.5501338217774857
15,2,5919,5832,87,0.9127055221327641
16,2,8097,8000,97,0.5571972599592702
17,2,9418,9261,157,0.898563945412092
18,2,10840,10648,192,0.5116063941532359
19,2,12387,12167,220,0.8676583582841998
20,2,15888,15625,263,0.5369047109624507
21,2,17886,17576,310,0.7875330715640899
22,2,20684,19683,1001,0.5920087140656126
23,2,22322,21952,370,0.5103008264251034
24,2,29285,27000,2285,0.5609232233274936
25,2,30310,29791,519,0.5201666778988355
26,2,33319,32768,551,0.5229198695593411
27,2,36675,35937,738,0.518447261019227
28,2,43623,42875,748,0.5115616248495962
29,2,49545,46656,2889,0.510772088998416
30,2,51968,50653,1315,0.5103497130603025
31,2,57500,54872,2550,0.5095276957455211
32,2,67146,64000,3146,0.5509069495192616
33,2,74577,68921,5656,0.5199647333054804
34,2,80681,74088,6124,0.5079647127900501
35,2,89201,79507,9694,0.5238434427827762
36,2,105430,91125,14305,0.5254181195867247
37,3,118741,99768,18973,0.5104487906329142
38,3,129413,106312,23101,0.5443379339888724
39,3,150951,113137,37814,0.527528606140399
40,3,170036,127658,40884,0.5069196158736774
41,3,223070,135366,87704,0.5134379998223144
42,3,247851,143379,104471,0.5136030018597778
43,3,354415,151705,199124,0.5064505429398927
44,3,417672,169316,233655,0.49754141204629143
45,3,661686,178614,279535,0.38977040425529896
46,3,767654,188247,287099,0.35707074532739375
47,7,1230559,250433,391607,0.31077509284108545
48,7,1454539,273395,407927,0.28404713530065384
49,18,2309193,1267822,1000471,0.5037696542281642
50,18,2652506,1300849,1351657,0.5113594966583804
51,22,3430798,2188442,1242355,0.5152005887226055
52,22,4054342,2295757,1758584,0.510956193842462
53,27,5606778,3694273,1779435,0.5016334183859774
54,27,6095983,3780891,2295372,0.508867877081669
55,31,7531230,5520786,1995770,0.5093184623105133
56,31,8573678,5779352,2675946,0.5051499227409628
57,35,11375540,8355001,3020539,0.5187992090466397
58,35,12238869,8548740,3690129,0.5144869823371513
59,38,15767835,11729682,4038153,0.5213614322102559
60,38,17502044,12280192,5221852,0.5192189186002975
61,38,23160060,12556119,10603940,0.5109330651342479
62,38,25893729,12832502,11937983,0.49460019925878623
63,42,35103465,22185386,12553378,0.5063550123538242
64,42,39696899,23214238,16482662,0.5114194848753503
65,42,56643337,23729380,22377932,0.4404722917216648
66,42,64399543,24245009,22526059,0.40433707078649445
67,42,96354253,24761130,25611063,0.31128374547261095
68,42,116797378,25794871,26408628,0.2730061757708393
69,42,180801256,26312504,29741471,0.19841198507956706
70,42,209992459,26830652,30537703,0.17706808298728818
71,42,337304932,27349323,35489241,0.12444231267606694
72,46,327560957,76550944,73065584,0.27807153814758256
73,46,501033047,78110823,83568173,0.20561876532709367
74,46,580234843,79671247,85129759,0.18340249970056718
75,50,868733228,252481859,229270520,0.3267140813700881
76,51,998746456,333191180,283293536,0.3561704523124631
77,55,1457940311,695445889,550653324,0.45648555181965567
78,55,1635512085,710536286,564372412,0.42654053567041184
79,56,2318743965,815277791,683370122,0.3693797833607009
80,56,2688598247,849631312,711782577,0.33918458017529624
81,58,3878633365,1194949524,1009979303,0.3333737647007473
82,58,4376981860,1219458170,1033301060,0.3072937390546972
