d,betaprime,total cost,preprocessing,single enum,probability
3,2,65,64,1,1.0
4,2,219,216,3,0.9849122498461097
5,2,346,343,3,0.9849122498461097
6,2,734,729,5,0.9700440157282773
7,2,1007,1000,7,0.9700440157282773
8,2,1738,1728,10,0.9553922311963401
9,2,2210,2197,13,0.9553922311963401
10,2,3392,3375,17,0.9409538707767322
11,2,4119,4096,23,0.9409538707767322
12,2,5865,5832,33,0.9267259494496697
13,2,6904,6859,45,0.9267259494496697
14,2,9323,9261,62,0.9127055221327641
15,2,10735,10648,87,0.9127055221327641
16,2,13947,13824,123,0.8988896831710534
17,2,15800,15625,175,0.8988896831710534
18,2,19936,19683,253,0.8852755658336039
19,2,22320,21952,368,0.8852755658336039
20,2,27540,27000,540,0.8718603418164662
21,2,30593,29791,802,0.8718603418164662
22,2,37140,35937,1203,0.8586412207515879
23,2,41128,39304,1824,0.8586412207515879
24,2,49450,46656,2794,0.8456154497215116
25,2,54978,50653,4325,0.8456154497215116
26,2,65711,59319,6392,0.8327803118526791
27,2,72208,64000,8208,0.8327705941359081
28,2,83931,74088,9843,0.8199742381689308
29,2,91402,79507,11895,0.8181729557381197
30,2,104670,91125,13545,0.803284682628876
31,2,112940,97336,15604,0.7888289752238851
32,2,128114,110592,17522,0.7695514320768321
33,2,135385,117649,17736,0.7031741066515622
34,2,153927,132651,21276,0.6968602835086938
35,2,161393,140608,20785,0.5636845730539478
36,2,180416,157464,22952,0.5314862216881456
37,2,295889,166375,23297,0.36699324317778387
38,2,310503,185193,27420,0.3864280974694262
39,3,684013,596107,87906,0.5441612149677105
40,3,764821,659163,94235,0.5047512169261648
41,6,1064919,805979,119216,0.46192330595110026
42,9,1298730,1126839,166781,0.5086224592078636
43,11,1904112,1482714,213219,0.47025439061780466
44,11,2295299,1583487,226685,0.43026187713974384
45,15,3162598,2716698,432353,0.5085004300886476
46,15,3751735,2864345,445369,0.4670377014769482
47,18,5537961,4427809,667674,0.48126074968456023
48,19,6532148,5024339,767091,0.4687162420548698
49,20,8754667,5984370,982138,0.4331421485364445
50,22,10236421,7812543,1200352,0.46638759358454424
51,23,14220222,8621270,1436840,0.3962286828523675
52,25,17097074,11243441,1861251,0.42118579126811595
53,31,23933712,20413375,3520337,0.5146988012537418
54,31,27435668,21206222,3609076,0.4754518859580448
55,35,35226719,28817877,4976152,0.495575736245402
56,36,40574157,32706612,6006054,0.4936981766690029
57,36,52788871,33312124,5703019,0.4097575460467115
58,36,60692603,34527755,6284494,0.3810225025822848
59,36,84547901,35137911,6072762,0.29369196649493573
60,36,96991992,36362992,6607553,0.2709673395785438
61,38,146885910,58398448,10357800,0.2838846340291036
62,38,169167930,60413824,11604754,0.2619096448923124
63,38,254501671,61424015,10340735,0.182211418727391
64,38,300012134,63449489,11233850,0.16270374677108473
65,38,488084854,64464810,10252957,0.1034508286611623
66,38,582183845,66500706,10886747,0.09046595592295682
67,38,1034656163,67521319,10174431,0.05215832487901121
68,38,1226623204,69567961,10830646,0.045680043291972824
69,42,1661151683,259151019,47412338,0.1233502882899733
70,42,1983304584,267138095,49851074,0.10775440049105374
71,46,2537456683,730431699,144482763,0.21804874332813085
72,46,3061313044,753148195,150784563,0.18993048587156258
73,46,4386673830,764509349,154866063,0.13886717823603095
74,46,5287797748,787237563,167468155,0.1208453784119468
75,48,7933010643,1346143992,294189247,0.13713891717853963
76,50,9597128355,2114567386,451831020,0.17366841102962982
77,50,13832438568,2145394640,437104568,0.12469382858824712
78,50,16985247411,2207055377,455039139,0.10577976735666192
79,53,24320440807,4982485910,1123807870,0.16398228009970953
80,56,28970346511,8415614794,1818921525,0.22276272074804268
81,56,40297883317,8537467947,1954170139,0.16949566748046194
82,56,47597367768,8781180807,1991652855,0.14909458286702543
83,56,67397622332,8903040548,2070936366,0.10965901654547679
84,56,81530247378,9146766746,2065359006,0.09344232791270084
85,56,119471211828,9268633237,2150805586,0.06591165141133346
86,56,147222845026,9512373097,2094982380,0.0546896471249015
87,58,222958082291,14076830270,3219031754,0.053834484532415704
88,58,275112440973,14441294790,3292097950,0.04494047705043198
89,60,431543927709,22753560919,5650793001,0.0458676722372197
90,62,527705979910,39508576121,9465890046,0.06405952514781588
91,62,796483080687,40016245155,9381623157,0.04327754855667663
92,62,979177155475,41031590584,9738058265,0.03631103942337688
93,62,1560165012685,41539267015,10749090896,0.02362413559845605
94,62,1984479316616,42554627403,10535276858,0.018902991056465392
95,64,3249467598743,74328388851,17824100575,0.020026818383667877
96,64,4085103321106,76128829741,18384361285,0.01636865844210711
97,64,6711285814306,77029054065,20596232749,0.010323046001269275
98,66,8839248984627,148807969616,37204493311,0.014899565587417361
99,66,14616718887937,150554716957,36648863139,0.009094617887193167
100,70,15992489920516,501048197857,128475251444,0.02768950414617078
101,72,19287233106657,767382802107,191478718474,0.0348425869458427
102,72,24139988792433,785751096247,196631311773,0.028612617470773424
103,76,36600457575578,2369194105367,574249341929,0.055753735361074495
104,76,44198323245564,2426777307951,590769859648,0.047535513239233086
105,76,66531440758500,2455568913445,617455352545,0.032412052132908445
106,80,82651755199799,7241764715699,1665278513954,0.07399423048293287
107,80,118776681248288,7328675984196,1720995433253,0.05289999061230038
108,80,141628628756595,7502498529847,1825805442571,0.045897775440395853
109,80,209541902657633,7589409807038,1875367691250,0.031707657519991966
110,80,256692364553012,7763232370239,2002847069040,0.026775022919621545
111,80,398824923397592,7850143656286,1970514699062,0.01741214158005436
112,80,497064047781681,8023966237362,2046263997160,0.014348126613492747
113,82,771873956826898,13062393754737,3333984015552,0.015038960076508165
114,84,962746104549105,22365659462266,5725860399259,0.020599377279252956
115,84,1541059535960108,22610250469112,5901439111384,0.013111228612273117
116,84,1920494542545988,23099432492110,6009125731445,0.010753863304156263
117,84,3123362385644122,23344023508298,6158266560116,0.0067154267608334536
118,84,4055260602291868,23833205550142,6623583187400,0.005343244869028575
119,88,6244866081681194,77660919618132,19496637514815,0.011036930817982234
120,90,7783223739810414,148738925430732,37324519025593,0.016908549789222117
121,90,12004845010569836,150322043663685,39497004585944,0.011216021779766595
122,90,15717018028429792,153488280139382,39647621992210,0.00872757043813341
123,90,24402679454866316,155071398382162,41200464608489,0.00572107760672918
124,90,33266683241726656,158237634877677,42733975918330,0.004300236546568297
125,90,53055587198381472,159820753130447,43331170309927,0.0027277176868431407
126,92,65064072023827192,296525846564572,82100048417958,0.004142576760722626
127,92,109013842157335360,299463378354189,80813307094930,0.002485309117152177
128,96,139932368236076768,1220732697527281,315471889941912,0.0078007082764605115
129,96,227809758304464768,1232988007824107,327782789598553,0.0048753811315723735
130,96,296761544868828480,1257498628428198,335701691383627,0.003822381358995225
131,100,437792192923033920,4788539270334469,1210558305670689,0.009727463436484621
132,102,474660145445924672,7265300611842420,1808792199349102,0.013544567628441565
133,104,746770773594121344,13151902307425442,3244910850679528,0.015540965503749402
134,104,911914892397296768,13417092247618832,3369191514378412,0.013045315173013782
135,104,1403563116877453312,13549687217720958,3434422465612489,0.008594890748545591
136,104,1733690036930740736,13814877157936108,3581020682938653,0.007132218320425304
