d,betaprime,total cost,preprocessing,single enum,probability
3,2,65,64,1,1.0
4,2,218,216,2,0.5115806393178025
5,2,346,343,3,0.9849122498461097
6,2,733,729,4,0.5314140349004942
7,2,1007,1000,7,0.9700440157282773
8,2,1735,1728,7,0.53909618554138
9,2,2210,2197,13,0.9553922311963401
10,2,3388,3375,13,0.5153929179825617
11,2,4119,4096,23,0.9409538707767322
12,2,5856,5832,24,0.5224136401430207
13,2,6904,6859,45,0.9267259494496697
14,2,9309,9261,48,0.5501338217772384
15,2,10735,10648,87,0.9127055221327641
16,2,13921,13824,97,0.5571972599583656
17,2,15800,15625,175,0.8988896831710534
18,2,19875,19683,192,0.5116063941540697
19,2,22280,21952,328,0.8852377881368658
20,2,27269,27000,269,0.5529413949500781
21,2,30294,29791,503,0.8671255566500676
22,2,36938,35937,1001,0.5920087140461575
23,2,39998,39304,694,0.8207888170931582
24,2,48941,46656,2285,0.5609232233463665
25,2,51551,50653,898,0.7128351761293302
26,2,59913,59319,594,0.5103463132855065
27,2,65879,64000,1879,0.5109876070176472
28,2,76497,74088,2409,0.5145003761222398
29,2,80964,79507,1457,0.5122385744271557
30,2,92743,91125,1618,0.5293287891470814
31,2,99617,97336,2281,0.5122977649905007
32,2,112842,110592,2250,0.5116805461895625
33,2,123756,117649,6107,0.5311292991207796
34,2,138272,132651,5133,0.5087662318979564
35,2,152653,140608,12045,0.566420271669221
36,2,172806,157464,15342,0.5387394022944128
37,2,193019,166375,26644,0.5278074567079869
38,2,215417,185193,30224,0.5191462308496172
39,2,240119,195112,45007,0.5276426694555838
40,2,272010,216000,56010,0.5392185411889735
41,2,320133,226981,89790,0.5063146329628286
42,2,363217,250047,113170,0.5165393020775549
43,2,499783,262144,237639,0.5113989502266261
44,2,575767,287496,288271,0.5136293222327287
45,2,864829,300763,427470,0.4515610648714604
46,2,1022468,328509,454488,0.42089819103448683
47,2,1633693,343000,531562,0.31742044193456936
48,2,1930498,373248,551479,0.289439684696941
49,2,3166244,389017,625052,0.20424833479649568
50,2,3753324,421875,653505,0.1848512411040802
51,2,6332635,438976,790808,0.12936370237457206
52,2,7551397,474552,836781,0.11651091714294395
53,2,13157255,493039,984882,0.07700252212930253
54,2,15832081,531441,1049098,0.06873808578773734
55,2,28451931,551368,1232420,0.04373799241362943
56,2,34586237,592704,1320634,0.0386945479795838
57,2,64422605,614125,1496430,0.0230991534334979
58,2,79269944,658503,1670319,0.020738984097310665
59,2,152546954,681472,1973610,0.012339104426054813
