d,betaprime,total cost,preprocessing,single enum,probability
3,2,217,216,1,1.0
4,2,515,512,3,0.9849122498461097
5,2,1003,1000,3,0.9849122498461097
6,2,1733,1728,5,0.9700440157282773
7,2,2751,2744,7,0.9700440157282773
8,2,4106,4096,10,0.9553922311963401
9,2,5845,5832,13,0.9553922311963401
10,2,8017,8000,17,0.9409538707767322
11,2,10671,10648,23,0.9409538707767322
12,2,13857,13824,33,0.9267259494496697
13,2,17621,17576,45,0.9267259494496697
14,2,22014,21952,62,0.9127055221327641
15,2,27087,27000,87,0.9127055221327641
16,2,32891,32768,123,0.8988896831710534
17,2,39479,39304,175,0.8988896831710534
18,2,46909,46656,253,0.8852755658336039
19,2,55240,54872,368,0.8852755658336039
20,2,64540,64000,540,0.8718603418164662
21,2,74890,74088,802,0.8718603418164662
22,2,86387,85184,1203,0.8586412207515879
23,2,99160,97336,1824,0.8586412207515879
24,2,113386,110592,2794,0.8456154497215116
25,2,129325,125000,4325,0.8456154497215116
26,2,147374,140608,6766,0.8327803127796929
27,2,168162,157464,10698,0.8327803127796929
28,2,192710,175616,17094,0.8201331304798151
29,2,217946,195112,22834,0.8201328654940069
30,2,243597,216000,27597,0.8076450192007668
31,2,272024,238328,33696,0.8070834611454228
32,2,299381,262144,37237,0.793099682000754
33,2,330141,287496,42645,0.7834323377115341
34,2,361198,314432,46766,0.7630303992934573
35,2,394609,343000,51609,0.7241898800080753
36,2,429379,373248,56131,0.6971941672737958
37,2,465530,405224,60306,0.6134595613327606
38,2,503276,438976,64300,0.579019797428068
39,3,601151,507144,74746,0.4986711814299569
40,3,718570,545461,78829,0.46192330595110026
41,3,1215137,585698,82728,0.32456715260317165
42,6,1455382,869581,122120,0.3849663726072647
43,10,2455114,1902654,284039,0.47025439061780466
44,10,2885750,1980140,294869,0.4301466780740767
45,13,5194269,3574793,552419,0.4326657116941347
46,14,6372054,4389172,652089,0.43128056648204177
47,14,9828379,4529125,654573,0.31355973210302585
48,14,11771325,4671334,665165,0.27631225338284277
49,16,19476478,6631551,955242,0.24260895615907127
50,16,23642365,6821923,960947,0.20929383140963273
51,16,43662269,7014695,963761,0.12221293590348319
52,16,54398660,7209916,963905,0.10164175100587912
