d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,66,64,2,0.5115806393178025
5,2,128,125,3,0.9269915302571553
6,2,220,216,4,0.531940001519976
7,2,349,343,6,0.9700440157282773
8,2,519,512,7,0.5392886693482504
9,2,741,729,12,0.9553922311963401
10,2,1012,1000,12,0.5154745213229841
11,2,1354,1331,23,0.9409538707767322
12,2,1751,1728,23,0.5224370401529952
13,2,2238,2197,41,0.926184103202098
14,2,2790,2744,46,0.5501394776214186
15,2,3441,3375,66,0.9013658876441785
16,2,4189,4096,93,0.5571974854057823
17,2,5009,4913,96,0.8191481424352202
18,2,6016,5832,184,0.5116054837433072
19,2,6985,6859,126,0.5598092411341166
20,2,8246,8000,246,0.519597575363095
21,2,9444,9261,183,0.5173000908395491
22,3,11378,11185,194,0.5269109347970475
23,3,13147,12732,415,0.5103363989509472
24,3,14698,14417,281,0.5109175364948674
25,3,16666,16246,419,0.5303080489806068
26,3,18620,18226,395,0.5274866445996268
27,3,21140,20361,779,0.5334555853480851
28,3,23508,22658,849,0.5345146453848241
29,3,26455,25123,1332,0.5230149206924317
30,3,29285,27763,1523,0.5442490123912025
31,3,33088,30582,2506,0.5173828579784988
32,3,36612,33587,3025,0.5355135987068406
33,3,42807,36784,6022,0.5442979967332766
34,3,46575,40180,6395,0.5110082637768122
35,3,52376,43779,8597,0.537278774228335
36,3,58160,47588,10572,0.5517061606255472
37,3,67538,51613,15367,0.5071097011424542
38,3,74633,55861,18772,0.5212242068626904
39,3,97303,60336,36967,0.5202471489765935
40,3,106886,65045,41841,0.512297688323344
41,6,151248,77024,71863,0.5045102917789327
42,7,170418,87079,83339,0.510386027754391
43,10,251575,115949,135139,0.5093229300624283
44,10,288421,122639,165151,0.5092339604232491
45,16,418617,231394,187223,0.5113129269266139
46,16,471212,241793,228561,0.5093633810006089
47,20,673087,371511,301576,0.5121426500647775
48,22,722815,472303,250512,0.5156351587891224
49,22,1001645,490738,510021,0.5096908364134174
50,25,1128761,652032,474966,0.5094537945897867
51,30,1492943,977035,472159,0.49964900122400413
52,31,1624265,1097935,506928,0.5058069663255366
53,33,2172593,1346914,791300,0.5044373722427657
54,36,2374900,1703362,671538,0.5136982436058696
55,38,3035586,2076316,941082,0.5079012705652779
56,38,3350380,2160190,1190190,0.5130014342251173
57,38,4661205,2244400,2311828,0.5020642367027832
58,38,5328912,2328952,2413560,0.46998602809341855
59,42,7598036,4269521,3328516,0.5126762835189351
60,42,8452473,4450559,3978748,0.509041082720624
61,42,12500345,4631958,4839390,0.4175406735198318
62,42,14302444,4813723,4923224,0.38469720734691465
63,46,19818677,10857519,8961158,0.5101870683597941
64,46,22284017,11340828,10319108,0.5001123978394239
65,48,32072350,16555249,14886994,0.503084419104641
66,48,36094631,17290935,15483638,0.4767701922929219
67,48,52088222,18027018,17347023,0.38396323031618845
68,48,59043014,18763502,17825531,0.35729140669362547
69,48,87418794,19500394,20608693,0.2791295920391224
70,48,99932191,20237700,21379324,0.25701278301897773
71,52,145246338,40459324,38839498,0.3225781927328448
72,52,163651599,42098925,41076370,0.30410558864158665
73,54,240814146,59299986,58680937,0.294951086269492
74,54,271288430,61691092,60122622,0.2740744351670634
75,54,398275332,64082643,67553694,0.2100404158446435
76,54,453222325,66474644,70856404,0.1943874726369057
77,56,674451975,90988360,99884938,0.18280832430400792
78,56,763140317,94356760,103271622,0.1686748532901385
79,56,1156552423,97725627,115244795,0.12309622347543468
80,56,1326384245,101094968,120546917,0.1123718926045494
81,56,2069651597,104464790,137687984,0.08007502022734059
82,56,2390473270,107835097,141853063,0.07180214100025918
83,60,3724059084,241193140,292400724,0.09716080254086643
84,60,4278134343,249666530,304740271,0.08829934703330108
85,60,6729799166,258140425,344714741,0.061902937471523256
86,60,7775108646,266614829,357201219,0.05562676241252902
87,64,12272759663,628310839,771518978,0.07814249876982883
88,64,14151808559,650617825,805275671,0.0707590323362818
89,64,22119312912,672925339,908802213,0.04973164933114471
90,64,25654083251,695233387,946735786,0.044630776360884604
