d,betaprime,total time,total cost
20,2,0.000629812479019165,334
22,2,0.0006656845410664877,699
24,2,0.000733653704325358,1082
26,2,0.0007329583168029785,1643
28,2,0.0008833408355712891,3810
30,2,0.0009402732054392496,5764
32,2,0.0009095966815948486,4513
34,2,0.0011777877807617188,15192
36,2,0.0012494027614593506,13636
38,2,0.002014001210530599,41140
40,2,0.0025226672490437827,48424
42,2,0.007738063732783,249980
44,2,0.00895164410273234,291668
46,2,0.01978840430577596,690207
48,22,0.028022001187006634,325613
50,26,0.03561748067537943,496448
52,30,0.05029191573460897,878484
54,36,0.0811362365881602,1795599
56,36,0.13067745169003805,3353880
58,36,0.18943709135055542,4007011
60,38,0.3465324540932973,9156136
62,40,0.5575447281201681,14350849
64,40,0.9004416167736053,23271507
66,42,1.8278411130110424,53992550
68,40,3.9470396637916565,101995426
70,48,4.841093719005585,93823137
72,54,8.199574291706085,184989867
74,56,14.298358420530954,344418303
76,56,20.681988656520844,505170884
78,56,34.316278874874115,828912711
80,58,63.471605002880096,1320997916
82,58,98.8988582889239,2248572769
84,60,192.7071105837822,4643150617
86,62,326.3019143342972,7770816602
88,64,630.0316899021467,14555274471
90,64,1236.6331088940303,29050661080
