k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.4,110,0.0,41.2587589675059,2631019295146.9224,1.8079384426956895e-06,-19.07722301210732,32,454463579182.72546,18448907.281499356,0.17273990689780466,"Strategy< 50, (32,32,32,32), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 2631019295146.9224}>"
52,1.4,110,0.0,27.653196964236777,211077412.75084427,0.0444497805923295,-4.49167989196016,42,124463728.84865701,86613683.90218726,1.218818632221909,"Strategy< 52, (42,42,42,42), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 211077412.75084427}>"
54,1.4,112,0.0,28.83343349730579,478330815.88612115,0.040749458227183094,-4.617075311244557,42,157184372.66105446,88960775.91651925,0.5145918690636374,"Strategy< 54, (42,42,42,42), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 478330815.88612115}>"
56,1.4,114,0.0,29.72148423733062,885234377.4284703,0.028670111563572083,-5.1243086712479435,44,218011494.76917878,114007626.3289862,0.37506351940674965,"Strategy< 56, (44,44,44,44), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 885234377.4284703}>"
58,1.4,116,0.0,29.740699403566335,897103626.9228312,0.03760381654833543,-4.732977096065176,46,665213007.1851629,231890619.73766825,1.806447430272372,"Strategy< 58, (46,46,46,46), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 897103626.9228312}>"
60,1.4,118,0.0,29.489674378735362,753835438.8208241,0.059276927423319595,-4.076385521247423,46,515748035.8250828,238087402.99574134,1.1252381977157335,"Strategy< 60, (46,46,46,46), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 753835438.8208241}>"
62,1.4,120,0.0,29.771478308224886,916448333.9554603,0.06439054375955537,-3.957007356604027,48,590601100.4611849,325847233.4942754,1.0590191980180639,"Strategy< 62, (48,48,48,48), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 916448333.9554603}>"
64,1.4,122,0.0,31.015481406003712,2170652152.123477,0.037368764780556826,-4.742023313356506,48,1022874960.6251498,334257627.72956115,0.6252188251475821,"Strategy< 64, (48,48,48,48), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 2170652152.123477}>"
66,1.4,124,0.0,31.713438105420924,3521244124.728816,0.03299633878638949,-4.921550235235453,48,2951086195.737596,342670949.9648469,0.9353958513047167,"Strategy< 66, (48,48,48,48), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 3521244124.728816}>"
68,1.4,126,0.0,33.09021652028615,9144242517.782942,0.018976123941090037,-5.719670851896002,56,1635713139.2011104,7508529378.581832,1.0246094790652667,"Strategy< 68, (56,56,56,56), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 9144242517.782942}>"
70,1.4,128,0.0,33.52418857041591,12353395334.970392,0.02190537844982618,-5.5125710500752385,58,2268981507.8555074,10084413827.114885,1.2712400895701494,"Strategy< 70, (58,58,58,58), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 12353395334.970392}>"
72,1.4,130,0.0,33.99053655292175,17067545572.347048,0.02545060742125277,-5.296156100736169,60,3603205674.3534923,13464339897.993555,2.501257031936288,"Strategy< 72, (60,60,60,60), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 17067545572.347048}>"
74,1.4,134,0.0,34.44555212191694,23396150474.43566,0.030339266901572924,-5.04266996411869,62,5033577772.096254,18362572702.339405,1.084895622411127,"Strategy< 74, (62,62,62,62), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 23396150474.43566}>"
76,1.4,136,0.0,34.915649826897024,32408424291.075005,0.03712491014975732,-4.75146865548843,64,7119294306.811327,25289129984.263676,1.2716889778796914,"Strategy< 76, (64,64,64,64), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 32408424291.075005}>"
78,1.4,138,0.0,35.44319571919018,46715935878.98275,0.04554640999416527,-4.456518845686518,66,10536292837.535254,36179643041.447495,1.507456515793094,"Strategy< 78, (66,66,66,66), 1.00-1.00, {'alpha': 1.4, 'c': 0.0, 'total_cost': 46715935878.98275}>"
