d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,66,64,2,0.5115806393178025
5,2,128,125,3,0.9652140048491866
6,2,220,216,4,0.5322080215725113
7,2,349,343,6,0.9700440157282773
8,2,519,512,7,0.5393848042664944
9,2,741,729,12,0.9553922311963401
10,2,1012,1000,12,0.5155018194391705
11,2,1353,1331,22,0.9409538707767322
12,2,1750,1728,22,0.5224313496568553
13,2,2237,2197,40,0.9266540177228327
14,2,2788,2744,44,0.5501279716216393
15,2,3441,3375,66,0.9074334253317268
16,2,4185,4096,89,0.557188454287342
17,2,5007,4913,94,0.8195343847317704
18,2,6009,5832,177,0.5115990332026059
19,2,6991,6859,132,0.6580084304038848
20,2,8145,8000,145,0.5148942161864154
21,2,9433,9261,172,0.5305973879085457
22,2,10843,10648,195,0.5278240093349961
23,2,12396,12167,229,0.5105052197036978
24,2,14201,13824,377,0.5101567555598414
25,2,16062,15625,437,0.5319823363790719
26,2,17969,17576,393,0.5103965988921155
27,2,20448,19683,703,0.5089501167817525
28,2,22674,21952,722,0.5209955415465095
29,2,25636,24389,1247,0.5251010457135513
30,2,28368,27000,1368,0.5505012485883791
31,2,32374,29791,2583,0.5377129455392855
32,2,35580,32768,2565,0.5075673899507066
33,2,41846,35937,5909,0.5412051867157436
34,2,45797,39304,6275,0.5083329740393888
35,2,52777,42875,9902,0.5729146149380723
36,2,56203,46656,9547,0.5150315753004108
37,2,66784,50653,16131,0.5168112561889576
38,3,74795,56848,17947,0.5306438705456459
39,3,96082,61352,31853,0.4994206173932439
40,3,104943,66089,38295,0.5081361303771793
41,3,145930,71067,73278,0.5061880512605785
42,6,165131,90726,73314,0.5076859069774188
43,7,238568,106174,130780,0.5076286815120462
44,10,268909,160062,104918,0.5048668500098956
45,10,390580,168027,216382,0.5044468384133235
46,14,445418,298116,145553,0.5086245426210673
47,14,614388,310179,304209,0.5105939478988396
48,16,681033,416012,265020,0.5186248209179327
49,18,946051,549811,396240,0.513358244632682
50,18,1055017,569180,475964,0.5067181213631597
51,20,1427086,727532,699554,0.5100343479443766
52,20,1630859,751779,832973,0.5000175242682849
53,20,2511049,776338,970728,0.391229621983681
54,20,2899854,801216,977873,0.35444646959291914
55,20,4600468,826417,1113563,0.25978446059783256
56,20,5341933,851948,1123465,0.23186693866409627
57,20,8769885,877816,1320625,0.16374610951166632
58,20,10272505,904025,1324277,0.14336142476720337
59,20,17497969,930582,1568076,0.09684785591648762
60,20,20725852,957494,1631049,0.0852398783515029
61,20,36618624,984765,1900131,0.054649266986950426
62,20,43977167,1012402,1939916,0.04676070074325661
63,20,80993970,1040411,2247192,0.028540198201952537
64,27,42018932,2067852,3250086,0.08632645750628114
65,33,37691236,3618322,4803567,0.14733957703153708
66,38,30401437,5734287,6376051,0.24735466643721812
67,38,46187754,5897144,7158649,0.18261175372164487
68,38,52145079,6060404,7285481,0.1668762016783005
69,42,75608276,11527984,13422055,0.20974447300671378
70,42,84698621,11872736,13694336,0.19372575752102764
71,42,129355998,12217908,15479712,0.14164885629796953
72,42,146032146,12563507,15830518,0.12951214945037934
73,42,229373399,12909537,17588809,0.09049034994199294
74,42,261411316,13256005,17770727,0.0811818132389666
75,42,423583973,13602917,20551145,0.05589531216198568
76,42,488593919,13950279,21517764,0.05046562273168641
77,42,817868054,14298098,24204449,0.03302455252172503
78,42,956118432,14646378,24671241,0.02890838226938429
79,42,1656694454,14995126,27739600,0.018232721656741033
80,42,1964532022,15344348,28743937,0.01588162726037591
81,48,2098800518,53039820,79421749,0.04402320750208451
82,48,2416038753,54421813,81908517,0.03945298057942125
83,52,3926490960,119363294,168994365,0.051039134432647716
84,52,4504143159,122645929,175810737,0.04616872744731947
85,52,7312896212,125929069,197314163,0.03103942535424399
86,52,8437989571,129212718,200599922,0.027497320786364497
87,52,14106423639,132496883,231666274,0.018246894413790907
88,52,16468443746,135781570,236702860,0.016005133011362898
89,54,27989738039,232194777,405050192,0.01610973085259658
90,54,32846690467,238018516,411802445,0.014013409191890194
