d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,127,125,2,0.5115806393178025
5,2,219,216,3,0.9849122498461097
6,2,347,343,4,0.5314140349004942
7,2,519,512,7,0.9700440157282773
8,2,1007,1000,7,0.5390961855413969
9,2,1344,1331,13,0.9553922311963401
10,2,1741,1728,13,0.5153929179824572
11,2,2220,2197,23,0.9409538707767322
12,2,3399,3375,24,0.5224136401429256
13,2,4141,4096,45,0.9267259494496697
14,2,4961,4913,48,0.5501338217774857
15,2,5919,5832,87,0.9127055221327641
16,2,8097,8000,97,0.5571972599592702
17,2,9418,9261,157,0.898563945412092
18,2,10840,10648,192,0.5116063941532359
19,2,12387,12167,220,0.8676583582841998
20,2,15888,15625,263,0.5369047109624507
21,2,17886,17576,310,0.7875330715640899
22,2,20684,19683,1001,0.5920087140656126
23,2,22322,21952,370,0.5103008264251034
24,2,29285,27000,2285,0.5609232233274936
25,2,30310,29791,519,0.5201666778988355
26,2,33319,32768,551,0.5229198695593411
27,2,36675,35937,738,0.518447261019227
28,2,43623,42875,748,0.5115616248495962
29,2,49545,46656,2889,0.510772088998416
30,2,51968,50653,1315,0.5103497130603025
31,2,57500,54872,2550,0.5095276957455211
32,2,67146,64000,3146,0.5509069495192616
33,3,74110,73106,1004,0.6848012493837479
34,3,79046,78386,660,0.5105776003534432
35,3,85057,83919,1139,0.5168619920682903
36,3,97020,95763,1257,0.51049907031197
37,3,104876,102087,2789,0.5394009467863274
38,3,110192,108687,1505,0.5110657709756443
39,3,121124,115569,5555,0.5102909951562464
40,3,133084,130203,2881,0.512086274833672
41,3,145512,137967,6544,0.5075908602299296
42,3,154116,146038,7959,0.5097282517573304
43,3,173994,154420,18747,0.5083356796430074
44,3,194938,172144,22101,0.5087554361969152
45,3,218971,181498,34528,0.5052764581435857
46,3,234323,191188,43135,0.5271144566891386
47,4,276859,222235,54624,0.5294036163188816
48,4,311246,244138,66892,0.5097571546882063
49,5,376315,275584,100731,0.5234308946172226
50,5,407851,287808,120043,0.5103840563092782
51,7,525262,367978,130176,0.49162527678394147
52,7,615348,396705,218642,0.5166693311392163
53,7,855832,411651,443148,0.509577946072761
54,7,1018546,426992,470407,0.4666104990133886
55,10,1455990,725209,724326,0.508447923595826
56,11,1845426,881981,890587,0.4960038111134478
57,11,2821430,905773,1031239,0.3872144217160364
58,11,3323967,929992,1045707,0.345576591379937
59,11,5245461,954643,1200526,0.2540445927736508
60,15,6820128,1895560,2052610,0.3383099275219745
61,15,10736760,1936336,2343909,0.24751883044380796
62,19,12526968,3476645,3694155,0.3352486417696413
63,26,17637153,7928767,7555029,0.4654101604217453
64,27,20950048,8948083,8283486,0.443860194880518
65,31,29848951,13141613,12332268,0.45599215065209947
66,31,33479912,13391539,12098013,0.41905596615443436
67,38,47450367,22944524,20447814,0.4791759978064737
68,40,53946634,27693259,23630653,0.4927082394291909
69,42,75161709,31479486,28408858,0.4335646894726359
70,42,82542751,32118398,28613710,0.4083607681731115
71,42,118009629,32757832,31872704,0.3234044229493677
72,46,132679014,46430015,41491588,0.3766899864013049
73,46,188703472,47391878,45337655,0.2956941554086589
74,46,208321378,48354287,46224695,0.27665177443546
75,46,302529110,49317248,51507735,0.211592922345914
76,48,342028110,63616353,62992743,0.23207397887475356
77,50,501392466,79065851,81593212,0.20433392198974035
78,50,557437212,80725193,83587494,0.18963474782865852
79,50,826695203,82385116,93093361,0.14051270046434697
80,50,933917968,85706733,95746140,0.12942227899340877
81,50,1418634225,87368439,106287872,0.09278758913888147
82,50,1591935806,89030751,109145777,0.08497448796596917
83,52,2461506500,125627667,158348000,0.07900139774489105
