k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.2,88,0.0,25.164335114520846,37602757.193866774,0.12649925915395602,-2.982799159122271,36,20286325.72984237,16393753.11279197,0.9754624814750836,"Strategy< 50, (36,36,36,36), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 37602757.193866774}>"
52,1.2,90,0.0,26.036658125365275,68835913.88161917,0.13630013979195402,-2.875141053088661,36,17553149.46872254,16865418.64969395,0.5000088787606998,"Strategy< 52, (36,36,36,36), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 68835913.88161917}>"
54,1.2,90,0.0,26.036658125365275,68835913.88161917,0.2831620952145251,-1.8202999393040427,36,17553149.46872254,16865418.64969395,0.5000088787606998,"Strategy< 54, (36,36,36,36), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 68835913.88161917}>"
56,1.2,92,0.0,26.042466531654732,69113611.44954592,0.3672180895844398,-1.4452909655720527,38,39751005.556168444,25277233.078677125,0.9408890270814058,"Strategy< 56, (38,38,38,38), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 69113611.44954592}>"
58,1.2,94,0.0,27.06251908149026,140161908.2959235,0.24068251225881487,-2.054796773989102,40,44857554.575410254,26243420.970645003,0.507277450845917,"Strategy< 58, (40,40,40,40), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 140161908.2959235}>"
60,1.2,96,0.0,27.58223311407878,200946068.99655214,0.22237334036564302,-2.1689442565908412,38,148398448.96405664,26803445.640973248,0.8718851554545016,"Strategy< 60, (38,38,38,38), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 200946068.99655214}>"
62,1.2,98,0.0,28.002454634940616,268892567.09572834,0.21945793142702358,-2.187983683319756,46,39379980.95129461,176239090.41501042,0.8018781392701814,"Strategy< 62, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 268892567.09572834}>"
64,1.2,100,0.0,28.58178916426895,401768485.742231,0.2018938582085645,-2.3083310716217427,46,219355940.0691475,182412545.6730835,1.8648200421161618,"Strategy< 64, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 401768485.742231}>"
66,1.2,102,0.0,28.779731967620613,460853180.9005426,0.2521153567001424,-1.9878440974351421,46,272264779.969386,188588400.9311566,1.0315505719409395,"Strategy< 66, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 460853180.9005426}>"
68,1.2,104,0.0,29.281537976628076,652561203.3231319,0.2659095859226409,-1.9109923082379323,48,365221805.13037276,258663727.61198965,0.9560567339358512,"Strategy< 68, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 652561203.3231319}>"
70,1.2,106,0.0,30.140977796740003,1183963776.9289832,0.22855918840249723,-2.1293602763993342,46,983016273.4816805,200947503.4473028,1.078715007941999,"Strategy< 70, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 1183963776.9289832}>"
72,1.2,108,0.0,30.690347708386756,1732667532.9570026,0.25069979886148475,-1.99596725620117,48,1416805917.6529377,275443668.08256096,0.9766729932588245,"Strategy< 72, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 1732667532.9570026}>"
74,1.2,110,0.0,32.03640334106073,4404720532.772324,0.16115030418660972,-2.6335211832624816,48,3388670139.103043,283837502.3178466,0.8337663227658667,"Strategy< 74, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 4404720532.772324}>"
76,1.2,112,0.0,33.060860188269864,8960053423.734108,0.13428043148876165,-2.8966790168612717,52,3226842858.019467,2358379288.919596,0.6233469693544995,"Strategy< 76, (52,52,52,52), 1.00-1.00, {'alpha': 1.2, 'c': 0.0, 'total_cost': 8960053423.734108}>"
