k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.3,100,0.15,36.8203898263467,121350561382.33043,4.946670864020166e-05,-14.30318256415451,32,12647822693.770782,19485973.307467997,0.10438607389024165,"Strategy< 50, (32,32,32,32), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 121350561382.33043}>"
52,1.3,100,0.15,27.75742400569327,226890978.4999292,0.05119667617828409,-4.28780604003311,40,102402019.33983731,34412818.44251882,0.6029981389603767,"Strategy< 52, (40,40,40,40), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 226890978.4999292}>"
54,1.3,102,0.15,28.28118070635748,326199811.24991167,0.07392704862819996,-3.757753871655124,46,42026522.575534925,238087402.99574134,0.8587188462738637,"Strategy< 54, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 326199811.24991167}>"
56,1.3,104,0.15,28.521025436639473,385198124.1564089,0.08272642218625517,-3.5955080010196743,48,59350890.662133485,325847233.4942754,1.20233888347663,"Strategy< 56, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 385198124.1564089}>"
58,1.3,106,0.15,29.352043653323143,685244524.0700359,0.05740046492883187,-4.122793767371956,48,67577007.51012021,334257627.72956115,0.5864105748017793,"Strategy< 58, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 685244524.0700359}>"
60,1.3,108,0.15,29.431188902652522,723886817.2765815,0.0679355243012979,-3.87969001543483,46,464088055.8775844,259798761.39899716,2.0350919847597373,"Strategy< 60, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 723886817.2765815}>"
62,1.3,110,0.15,30.00522768463257,1077639644.1265774,0.060166836939568674,-4.054887675645262,46,811630977.4695071,266008666.65707025,1.1805340669448259,"Strategy< 62, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1077639644.1265774}>"
64,1.3,112,0.15,30.33803167619196,1357242792.1271214,0.06496139238391628,-3.9442736341629243,48,676096940.6371524,363717380.5530613,0.766122559074768,"Strategy< 64, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1357242792.1271214}>"
66,1.3,114,0.15,32.00490873376198,4309605703.995908,0.029086314937888224,-5.103515662590516,48,1257803308.9431818,376354478.90598994,0.37918962895699826,"Strategy< 66, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4309605703.995908}>"
68,1.3,116,0.15,32.97284648586318,8429772121.227644,0.02258895980506511,-5.4682383519178295,48,573678728.6603115,384783161.1412757,0.11369962034774488,"Strategy< 68, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 8429772121.227644}>"
70,1.3,118,0.15,33.54362384022127,12520940136.985634,0.023307101502693366,-5.423086589327539,56,2506881845.8989234,10014058291.08671,2.415887010182307,"Strategy< 70, (56,56,56,56), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 12520940136.985634}>"
72,1.3,120,0.15,33.89562141886222,15980809288.075119,0.028443471333624886,-5.135758642883763,58,3285614418.03701,12695194870.038109,2.7046029074889932,"Strategy< 72, (58,58,58,58), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 15980809288.075119}>"
74,1.3,122,0.15,34.235131688169595,20220949456.727177,0.037288059284957584,-4.7451424780165565,60,3873029101.4656115,16347920355.261564,2.0535677995282633,"Strategy< 74, (60,60,60,60), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 20220949456.727177}>"
76,1.3,124,0.15,34.639236597645294,26757728498.89195,0.04835050316334411,-4.370325286474177,62,5293142669.710238,21464585829.18171,2.270978986290434,"Strategy< 76, (62,62,62,62), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 26757728498.89195}>"
78,1.3,126,0.15,34.88417522992358,31709041778.99199,0.07228114237570374,-3.790236882150813,62,5442861506.162911,21983415597.16394,0.8649355377713568,"Strategy< 78, (62,62,62,62), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 31709041778.99199}>"
80,1.3,128,0.15,35.195769233769596,39353399995.379265,0.09070954262664062,-3.4626018597931663,64,7938111723.478122,30229832626.945618,0.9698766651650247,"Strategy< 80, (64,64,64,64), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 39353399995.379265}>"
82,1.3,130,0.15,35.66536739077026,54493586377.67264,0.10831309221661317,-3.206720457348332,66,11773471821.046204,42720114556.626434,1.1622730946782471,"Strategy< 82, (66,66,66,66), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 54493586377.67264}>"
84,1.3,132,0.15,36.25831076495446,82193813826.75526,0.1217753430470986,-3.0377060475607705,68,18576049673.213924,63617764153.54134,1.3871094119882927,"Strategy< 84, (68,68,68,68), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 82193813826.75526}>"
86,1.3,134,0.15,36.907627006207775,128914805481.76389,0.1338569919310631,-2.901235595723265,70,30975360545.99044,97939444935.77345,1.6902180172328836,"Strategy< 86, (70,70,70,70), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 128914805481.76389}>"
88,1.3,138,0.15,37.96843787835579,268929652007.9574,0.11889143406816571,-3.072283319858924,72,52061727679.96239,155319698316.19125,0.7711363341593042,"Strategy< 88, (72,72,72,72), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 268929652007.9574}>"
90,1.3,140,0.15,38.383395328780935,358552974251.7379,0.16612783699390007,-2.589634258021983,74,90717953097.68185,252745779083.94357,0.9579162825197528,"Strategy< 90, (74,74,74,74), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 358552974251.7379}>"
92,1.3,142,0.15,39.138120390352455,604990021219.1073,0.1900974571046212,-2.3951888614126786,76,169374133052.49207,435615888166.61523,1.227839930757095,"Strategy< 92, (76,76,76,76), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 604990021219.1073}>"
