i,r_i
  0,  289.00
  1,  289.00
  2,  289.00
  3,  289.00
  4,  289.00
  5,  289.00
  6,  289.00
  7,  289.00
  8,  289.00
  9,  289.00
 10,  289.00
 11,  289.00
 12,  289.00
 13,  289.00
 14,  289.00
 15,  289.00
 16,  289.00
 17,  289.00
 18,  281.92
 19,  269.67
 20,  257.94
 21,  246.71
 22,  235.96
 23,  225.67
 24,  215.81
 25,  206.38
 26,  197.34
 27,  188.69
 28,  180.41
 29,  172.48
 30,  164.88
 31,  157.61
 32,  150.65
 33,  143.99
 34,  137.65
 35,  131.61
 36,  125.86
 37,  120.38
 38,  115.16
 39,  110.19
 40,  105.44
 41,  100.92
 42,   96.60
 43,   92.46
 44,   88.51
 45,   84.75
 46,   81.14
 47,   77.70
 48,   74.38
 49,   71.21
 50,   68.18
 51,   65.28
 52,   62.50
 53,   59.84
 54,   57.29
 55,   54.85
 56,   52.51
 57,   50.30
 58,   48.16
 59,   46.11
 60,   44.14
 61,   42.26
 62,   40.44
 63,   38.71
 64,   37.04
 65,   35.44
 66,   33.91
 67,   32.44
 68,   31.04
 69,   29.69
 70,   28.40
 71,   27.16
 72,   25.97
 73,   24.84
 74,   23.75
 75,   22.70
 76,   21.70
 77,   20.74
 78,   19.80
 79,   18.91
 80,   18.06
 81,   17.24
 82,   16.45
 83,   15.69
 84,   14.98
 85,   14.29
 86,   13.63
 87,   12.99
 88,   12.38
 89,   11.80
 90,   11.24
 91,   10.71
 92,   10.20
 93,    9.71
 94,    9.24
 95,    8.79
 96,    8.36
 97,    7.95
 98,    7.70
 99,    7.45
100,    7.21
101,    6.98
102,    6.75
103,    6.52
104,    6.30
105,    6.10
106,    5.88
107,    5.61
108,    5.41
109,    5.25
110,    5.01
111,    4.84
112,    4.57
113,    4.38
114,    4.20
115,    4.04
116,    3.86
117,    3.69
118,    3.53
119,    3.39
120,    3.23
121,    3.19
122,    2.98
123,    2.86
124,    2.69
125,    2.61
126,    2.43
127,    2.35
128,    2.20
129,    2.11
130,    2.00
131,    1.90
132,    1.83
133,    1.73
134,    1.63
135,    1.57
136,    1.49
137,    1.44
138,    1.34
139,    1.26
140,    1.21
141,    1.12
142,    1.04
143,    0.99
144,    0.94
145,    0.87
146,    0.84
147,    0.76
148,    0.76
149,    0.69
150,    0.66
151,    0.60
152,    0.57
153,    0.55
154,    0.50
155,    0.47
156,    0.45
157,    0.41
158,    0.39
159,    0.36
160,    0.34
161,    0.33
162,    1.00
163,    1.00
164,    1.00
165,    1.00
166,    1.00
167,    1.00
168,    1.00
169,    1.00
170,    1.00
171,    1.00
172,    1.00
173,    1.00
174,    1.00
175,    1.00
176,    1.00
177,    1.00
178,    1.00
179,    1.00
