d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,16383,5461,0.8916475511965979,0.8916475511965979,53.3149071378154,49,0.0779439756254239,ge19,18,18,24592,5504.60973413865,6166986.01016006,88552409.7913696,289015.535015502,2023861.51225164,7598.24335096916
80,8191,2730,0.9138675511965978,0.9138675511965978,56.51612676117547,113,0.134345683604845,ge19,22,22,12308,8369.3577520654,4649603.79183599,59015941.0429141,217816.081835533,1526131.10806094,10302.1119787076
96,16383,5461,0.958317551196598,0.958317551196598,62.00640294590727,163,0.128604419178142,ge19,25,25,24599,20384.0754743785,19868487.1861715,285447567.355905,930999.075383696,6520479.28036922,25536.9272671582
112,8191,2730,0.969427551196598,0.969427551196598,65.27369758547765,353,0.189783754914225,ge19,29,29,12315,34086.948089601,16496133.2528747,209662968.831659,772553.635300108,5414667.68029942,38300.6483146993
128,8191,2730,0.979427551196598,0.979427551196598,69.60800556949256,735,0.209483006940691,ge19,32,32,12318,59974.2130107299,27505306.4669664,349821091.639745,1287977.67941225,9028425.75861527,65111.8641252855
144,8191,2730,0.9915375511965979,0.9915375511965979,73.98349969423678,1345,0.228268574826443,ge19,35,35,12321,114779.347967164,50023013.4064935,636667124.747944,2342108.82131004,16419929.3138408,120689.912397367
160,4095,1365,1.0125275511965972,1.0125275511965972,77.64745059084962,1795,0.292919679139937,ge19,39,39,6181,281466.35052964,60802286.9713205,682463775.357147,2842439.78988814,19965593.3645432,265726.455927653
176,4095,1365,1.021987551196597,1.021987551196597,82.03113623403665,3175,0.306889175115093,ge19,42,42,6184,571490.803583379,117677839.089591,1323337117.89951,5499927.16928205,38642810.7626755,524911.615830502
192,4095,1365,1.0294075511965974,1.0294075511965974,86.40954257238701,5824,0.319222869697831,ge19,46,46,6188,1157818.66066371,224420434.997703,2530494652.34323,10485260.437279,73697377.7575265,1028033.67805244
208,4095,1365,1.0405275511965975,1.0405275511965975,90.80139634961583,9768,0.331346440797865,ge19,49,49,6191,2657414.1307771,493385716.794704,5575243586.141,23045936.1058918,162027193.781619,2304593.61058918
