d,betaprime,total cost,preprocessing,single enum,probability
80,56,180921446,89478054,61587043,0.029327927847318448
82,56,288284359,95457669,137244938,0.022359318371907674
84,58,470602309,144144361,210519309,0.018964291881502348
86,62,797153864,328171535,357529676,0.02152674218236239
88,64,1375662592,546753457,786811638,0.02019811635336057
90,64,2293212242,584301272,897426595,0.012177214585535558
92,64,4305815359,621851248,1054699454,0.006573194611344249
94,70,7653282729,2612239445,3950824226,0.013338258020536228
96,70,14355109835,2793968240,4561632251,0.007217031369720803
98,74,23916663052,7160710904,11178559593,0.009823877557278822
100,74,42212708747,7658208367,12780045110,0.0056295701807442915
102,76,77259403363,12970741311,22211283321,0.00480678529082668
104,76,144581872107,13815275669,25772372622,0.0026020478430402593
106,78,269609600005,22737922850,42830921918,0.0020939391803352593
108,82,519845346857,66649466257,118553050601,0.002815685094787479
110,82,983587940559,71024306716,136192625962,0.0014982285710042143
112,86,1873133056153,212282113151,382051900887,0.0020774399044206546
114,86,3595270029363,226278188974,436936511596,0.0010872256941942449
116,90,7001119596868,698942082453,1273055179919,0.0015209471434617973
118,90,13664859842595,745158395891,1483218610559,0.0007931369586707235
120,90,27246368001480,791374712161,1687861368029,0.0003993547572616112
122,96,54675608119657,5030064873106,9148485894333,0.0010557108297068762
124,98,107156642819374,9639930992063,18412049307967,0.0009527625017141168
126,98,209271757290412,10284791989591,20284166119345,0.00048686206707938205
128,98,417483587977514,10929652990143,23378622345310,0.0002469122066300162
130,102,854232383917650,37357493040378,79216635440474,0.00036816358382024656
132,102,1726298196586792,39700980459226,83902975329986,0.000178047859761803
134,104,3602744241978078,75780862577309,175482508529013,0.00015372929465098234
136,104,7603299652893097,80254453002883,182335832770678,7.068789469193562e-05
138,108,16023288676484508,300340219257724,635669794481839,0.00010945965798374268
140,110,33265956294849116,639807431518846,1380688820379500,0.00010285862262208672
142,110,69687823227232832,677908892830396,1549941915235660,4.9270791269909615e-05
144,114,146168709097962688,2608939981828816,5978216518627824,8.099862479563859e-05
146,114,309464167515699136,2764158947858988,6107699225324447,3.6556397045854575e-05
148,114,669973851882790528,2919377913892664,7127995760213216,1.712146811156645e-05
150,120,1465836460832930560,23413903625459076,50831558423689096,5.3399847512086974e-05
152,120,3109744057868458496,24812266241499220,57067849850537400,2.523623178990333e-05
154,120,6824696940974003200,26210628857543012,64606736626321712,1.1515936903162654e-05
156,124,14672323583577260032,117023826096455472,266496949963085824,2.0801728269297897e-05
158,126,32380487990476161024,240810466670524288,554127049442710464,1.771442288994814e-05
160,128,69954080456014946304,497610146658793280,1136213369491429248,1.5303230874942935e-05
162,128,152703451787486494720,525639344125478848,1309221607973206784,7.095079934392011e-06
164,128,337900316896316030976,553668541592168320,1415606917124899072,3.1322295567197424e-06
166,130,766425034291142721536,1173191603611251968,3313506901888997376,2.7597207275709586e-06
168,134,1720772186739161956352,5321906712300260352,12854795198562172928,4.697816529211486e-06
170,134,3881900272128222035968,5606807472757577728,14259585961419591680,2.0535672574746377e-06
172,136,8953402899763536330752,12337980769287090176,31897484326410711040,1.8007058609723608e-06
174,138,20487102695599392161792,27733444690975711232,70126866115019431936,1.5937320947267098e-06
176,142,47325818027992288329728,133850579650311815168,359010980261228052480,3.0969692308463034e-06
178,142,107534219875055977889792,141034972867773267968,369836695790355677184,1.303843915993547e-06
180,146,245540232683630649933824,689393803323636187136,1808439253230770454528,2.485910856301937e-06
182,146,555030622396132536352768,726450246016236126208,2029424385170312265728,1.0927621804911831e-06
184,148,1281695823267798840246272,1607287247781806211072,4061020063786339401728,9.117938295650439e-07
186,148,3042034298312970179969024,1689177513699771416576,4479039921066354409472,3.7902473168666163e-07
188,152,7172251113155210099294208,8622765877486696792064,21632822398843516616704,7.220718958628782e-07
190,154,16578532694886759295614976,20025152971426163064832,54767846322418088935424,6.834297404834943e-07
192,154,38964119108172105585262592,21047930275228918218752,56001187404703101616128,2.775436829061306e-07
194,158,92022153972088649564553216,108351446807057667194880,260666228415927360159744,5.163555340081897e-07
196,158,214776124983550549482799104,113887693099256887902208,287905569632828449095680,2.1849981080229447e-07
198,158,516115125575918262471884800,119423939391456108609536,374352380598034636996608,9.8123501029236e-08
