k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.0,50,0.15,22.517207262192194,6002812.863224646,1.0,0.0,2,257960.5139617124,195112,0.07547670138734372,"Strategy< 50, (), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6002812.863224646}>"
52,1.0,52,0.15,23.469617965660163,11616063.954034893,1.0,0.0,2,323080.6442614681,216000,0.04640820215820316,"Strategy< 52, (), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 11616063.954034893}>"
54,1.0,54,0.15,24.523426834702356,24114989.308781866,1.0,0.0,2,437139.8934376013,250047,0.02849625536376875,"Strategy< 54, (), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 24114989.308781866}>"
56,1.0,56,0.15,24.9255174356198,31866062.64431662,1.0,0.0,22,2872702.163231628,7538979.48450502,0.3267326046505966,"Strategy< 56, (22,22,22,22), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 31866062.64431662}>"
58,1.0,58,0.15,25.229249885951187,39333354.27155618,1.0,0.0,36,3173927.362916601,11559599.975321174,0.3745810041146755,"Strategy< 58, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 39333354.27155618}>"
60,1.0,60,0.15,25.551498887217694,49177630.4664824,1.0,0.0,36,4057409.3255948923,12011483.512223154,0.32675207579938187,"Strategy< 60, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 49177630.4664824}>"
62,1.0,62,0.15,25.950340008987304,64838168.747778594,1.0,0.0,36,5667484.692326422,12692428.817576125,0.2831652075388322,"Strategy< 62, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 64838168.747778594}>"
64,1.0,64,0.15,26.393758042029035,88168381.57961206,1.0,0.0,36,6942639.211353341,13148542.354478106,0.22787286333128415,"Strategy< 64, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 88168381.57961206}>"
66,1.0,66,0.15,26.901393071171462,125350548.76454447,1.0,0.0,36,8707415.96852876,13606431.891380087,0.17801156899458537,"Strategy< 66, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 125350548.76454447}>"
68,1.0,68,0.15,27.504608133945354,190419783.6122697,1.0,0.0,36,10834984.064834638,14296701.196733057,0.13198043178507393,"Strategy< 68, (36,36,36,36), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 190419783.6122697}>"
