k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.05,64,0.0,23.550473451661272,12285672.129918203,0.38717628770074525,-1.368937496262695,28,3522384.257063903,8763287.8728543,1.0215892559413753,"Strategy< 50, (28,28,28,28), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 12285672.129918203}>"
52,1.05,66,0.0,23.777357773850444,14377981.072577154,0.6525495225937087,-0.6158407015738288,36,3043716.8657069714,11334264.206870183,1.0883252822919676,"Strategy< 52, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 14377981.072577154}>"
54,1.05,68,0.0,24.046511600139727,17326916.509114034,1.1249388539774616,0.1698465859215066,36,5049279.959609549,11785337.743772164,0.9715876275231446,"Strategy< 54, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 17326916.509114034}>"
56,1.05,68,0.0,24.046511600139727,17326916.509114034,1.4647596615031675,0.5506639659429511,36,5049279.959609549,11785337.743772164,0.9715876275231446,"Strategy< 56, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 17326916.509114034}>"
58,1.05,70,0.0,24.55045121137997,24570965.47611519,1.372942395952856,0.4572710961211897,36,12332922.195441045,12238043.280674145,1.0161844270786184,"Strategy< 58, (36,36,36,36), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 24570965.47611519}>"
60,1.05,72,0.0,25.084991873500833,35590574.21368745,1.2555304201561115,0.32829698398710566,40,17639743.642148357,17950830.571539097,1.0148671182011404,"Strategy< 60, (40,40,40,40), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 35590574.21368745}>"
62,1.05,74,0.0,25.683489551127934,53889077.378519505,1.0950383532536159,0.13098140049292498,40,27294390.001023315,18695102.42600327,0.8534102765203077,"Strategy< 62, (40,40,40,40), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 53889077.378519505}>"
64,1.05,76,0.0,26.42684717425821,90213948.2436741,0.8991357907761176,-0.15338908161100132,40,31244283.433925007,19441150.280467443,0.5618358879215396,"Strategy< 64, (40,40,40,40), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 90213948.2436741}>"
66,1.05,78,0.0,27.16544383505998,150526665.05904567,0.7718776207760898,-0.3735559648745076,42,76230707.217138,49386611.67287533,0.8345187136162129,"Strategy< 66, (42,42,42,42), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 150526665.05904567}>"
68,1.05,80,0.0,27.78936678804645,231970609.56138992,0.7480356226718992,-0.41882111965630614,46,95108888.97088976,120778073.0923526,0.9306651496559909,"Strategy< 68, (46,46,46,46), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 231970609.56138992}>"
70,1.05,82,0.0,28.409551876096394,356555613.3709753,0.7589441585127819,-0.39793435575572655,46,195897381.93024966,126932088.35042569,0.9054112687458663,"Strategy< 70, (46,46,46,46), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 356555613.3709753}>"
72,1.05,84,0.0,29.16938636015443,603754317.5969415,0.7194638437287858,-0.4750059079688419,48,263510097.9503809,174906105.25913265,0.7261500090872964,"Strategy< 72, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 603754317.5969415}>"
74,1.05,86,0.0,29.921818997080035,1017103252.1368952,0.6978859346108238,-0.5189368392817812,48,333160752.8520873,183272003.49441835,0.5077486039509757,"Strategy< 74, (48,48,48,48), 1.00-1.00, {'alpha': 1.05, 'c': 0.0, 'total_cost': 1017103252.1368952}>"
