k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.1,74,0.15,24.381161380869965,21850476.125889957,0.274722291113469,-1.8639541186777728,36,5926276.549999966,15924199.57588999,1.2800894628328825,"Strategy< 50, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 21850476.125889957}>"
52,1.1,74,0.15,24.381161380869965,21850476.125889957,0.531616056652943,-0.9115434152098042,36,5926276.549999966,15924199.57588999,1.2800894628328825,"Strategy< 52, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 21850476.125889957}>"
54,1.1,76,0.15,24.865760514998723,30573121.34359846,0.7887643867881083,-0.34233368029636807,40,4666879.946110678,23957421.407252483,0.9362570812337632,"Strategy< 54, (40,40,40,40), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 30573121.34359846}>"
56,1.1,78,0.15,25.046720464526217,34658850.34713387,0.9194206479774885,-0.12120302890641887,40,9941605.085417211,24717245.261716656,1.0056490468359687,"Strategy< 56, (40,40,40,40), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 34658850.34713387}>"
58,1.1,80,0.15,25.773284410674158,57349771.83283255,0.685850231212916,-0.5440345247229704,36,37857783.97038412,17339244.18659593,0.9624629077491801,"Strategy< 58, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 57349771.83283255}>"
60,1.1,82,0.15,26.31982560247709,83763918.774782,0.5870980153006862,-0.7683267152593969,38,53492016.8208258,26421043.500399217,0.954027240966234,"Strategy< 60, (38,38,38,38), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 83763918.774782}>"
62,1.1,84,0.15,26.978651755158324,132246266.72696628,0.4902835471464955,-1.0283117461710185,44,35284773.35743123,88706893.73566815,0.9375816056047221,"Strategy< 62, (44,44,44,44), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 132246266.72696628}>"
64,1.1,86,0.15,27.617200332701312,205875988.0189402,0.4282596646069319,-1.2234422906722768,44,114201837.50758758,91674150.51135263,1.1507052176476606,"Strategy< 64, (44,44,44,44), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 205875988.0189402}>"
66,1.1,86,0.15,27.617200332701312,205875988.0189402,0.6088643458168247,-0.7158072615298516,44,114201837.50758758,91674150.51135263,1.1507052176476606,"Strategy< 66, (44,44,44,44), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 205875988.0189402}>"
68,1.1,88,0.15,27.96601090985928,262185182.024148,0.7262797315323927,-0.4614027759139232,46,73596781.0929914,188588400.9311566,1.1491974346634632,"Strategy< 68, (46,46,46,46), 1.00-1.00, {'alpha': 1.1, 'c': 0.15, 'total_cost': 262185182.024148}>"
