i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
  0,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  1,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  2,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  3,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  4,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  5,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  6,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  7,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  8,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
  9,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 10,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 11,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 12,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  281.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 13,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  272.54,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 14,  289.00,  289.00,  285.00,  289.00,  289.00,  289.00,  289.00,  289.00,  279.18,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00,  289.00
 15,  289.00,  285.00,  279.87,  289.00,  289.00,  289.00,  289.00,  289.00,  284.48,  289.00,  287.00,  289.00,  284.00,  289.00,  262.00,  277.00
 16,  289.00,  287.99,  286.20,  278.00,  289.00,  289.00,  273.00,  286.00,  287.85,  282.00,  284.97,  272.00,  252.37,  289.00,  266.55,  279.61
 17,  289.00,  269.37,  279.57,  249.37,  287.00,  281.00,  274.56,  280.81,  275.19,  245.37,  282.17,  277.24,  287.83,  282.00,  255.43,  279.71
 18,  247.00,  261.62,  283.21,  275.75,  270.40,  267.56,  257.61,  260.85,  283.25,  261.84,  277.37,  276.47,  278.30,  279.78,  280.43,  257.72
 19,  242.83,  268.68,  271.34,  264.67,  230.88,  251.71,  260.31,  244.29,  268.80,  267.72,  233.80,  252.17,  257.22,  259.84,  279.68,  259.18
 20,  253.12,  253.64,  247.25,  264.73,  229.87,  245.01,  244.91,  254.96,  257.22,  255.49,  237.85,  261.44,  250.79,  244.71,  235.76,  268.43
 21,  232.66,  245.94,  254.76,  267.36,  228.51,  238.41,  238.25,  233.30,  259.09,  255.05,  215.13,  257.59,  249.53,  247.44,  199.01,  241.16
 22,  237.87,  224.72,  232.15,  258.55,  210.10,  220.61,  232.38,  240.45,  245.40,  231.01,  220.95,  224.97,  241.92,  234.41,  223.64,  239.29
 23,  217.56,  222.84,  220.85,  220.48,  233.92,  191.43,  218.21,  198.09,  247.94,  235.26,  228.66,  239.07,  225.71,  221.04,  225.21,  245.66
 24,  221.42,  220.54,  205.88,  231.44,  184.68,  210.06,  222.61,  202.80,  206.97,  222.30,  206.65,  234.36,  209.91,  204.39,  200.74,  223.22
 25,  208.37,  211.30,  201.01,  223.06,  186.90,  186.54,  216.32,  230.31,  198.62,  222.92,  192.80,  217.44,  202.19,  178.66,  203.56,  216.03
 26,  196.31,  212.38,  182.40,  201.42,  199.46,  189.10,  181.78,  197.83,  210.16,  192.29,  182.42,  194.53,  213.61,  203.75,  199.84,  207.63
 27,  205.12,  173.77,  188.03,  193.03,  177.75,  191.51,  190.36,  183.05,  197.28,  195.50,  181.17,  199.36,  195.59,  202.51,  186.39,  197.66
 28,  180.72,  189.06,  203.44,  190.17,  180.67,  197.16,  191.59,  186.98,  196.91,  188.78,  185.94,  192.40,  200.26,  178.04,  182.98,  192.59
 29,  175.35,  175.83,  190.29,  180.71,  181.27,  167.60,  180.73,  186.78,  173.43,  189.89,  173.93,  156.99,  187.29,  178.10,  169.85,  180.98
 30,  172.08,  178.83,  170.43,  176.61,  174.05,  170.08,  172.11,  177.62,  169.62,  159.50,  173.67,  187.81,  176.95,  179.29,  175.60,  159.20
 31,  169.22,  162.26,  165.72,  168.29,  174.38,  173.81,  165.65,  160.48,  170.17,  166.83,  174.74,  156.18,  176.63,  156.66,  166.99,  153.11
 32,  158.17,  163.24,  158.18,  140.28,  156.41,  168.71,  161.47,  167.71,  164.40,  167.21,  162.30,  162.18,  162.61,  149.43,  165.35,  150.19
 33,  152.52,  151.11,  152.73,  150.64,  151.80,  155.75,  147.91,  148.53,  156.16,  150.15,  141.03,  148.34,  148.20,  146.25,  144.69,  156.48
 34,  148.18,  144.47,  130.69,  141.21,  141.37,  141.00,  151.48,  149.15,  151.84,  142.81,  145.52,  134.83,  143.99,  137.20,  152.72,  124.90
 35,  139.15,  139.38,  136.02,  129.67,  138.08,  138.21,  131.31,  146.66,  134.53,  145.80,  130.39,  151.09,  146.55,  134.80,  139.69,  127.98
 36,  130.31,  132.94,  128.97,  132.96,  138.04,  127.50,  139.73,  124.11,  130.04,  129.94,  129.69,  126.52,  124.65,  136.05,  138.11,  131.43
 37,  121.98,  133.88,  121.47,  126.32,  121.73,  131.70,  123.78,  122.20,  124.29,  121.34,  130.39,  135.88,  120.98,  126.81,  133.88,  117.08
 38,  118.68,  118.62,  115.25,  117.24,  121.26,  127.50,  128.69,  105.37,  114.22,  109.44,  121.35,  119.05,  123.41,  120.06,  127.60,  119.87
 39,  112.30,  116.02,  106.95,  109.25,  114.27,  115.76,  115.34,  117.70,  111.98,  116.31,  109.06,  116.30,  116.10,  109.37,  118.29,  111.04
 40,  111.36,  110.27,  107.00,  101.08,  106.47,  109.24,  113.10,  113.68,  110.54,  101.67,  101.89,  107.51,  104.78,  105.54,  110.03,  108.32
 41,  109.43,  101.61,   95.92,   98.40,  107.24,  103.31,  106.11,  108.20,  106.28,   99.01,  102.71,  105.84,  107.38,   99.67,  103.08,  103.37
 42,   95.40,   90.52,   93.62,   96.28,  100.33,  105.49,  103.16,   92.45,   98.68,   92.78,   92.16,   97.40,  104.70,   98.97,  103.27,   95.49
 43,  100.06,   93.58,   95.56,   95.50,  101.57,   95.80,  100.77,   95.28,   93.56,   97.85,   86.66,   95.79,   94.26,  101.59,   95.37,   94.82
 44,   88.11,   84.79,   88.72,   92.35,   94.84,   92.44,   93.35,   83.96,   86.93,   95.85,   90.88,   91.44,   91.92,   92.83,   97.82,   91.61
 45,   87.14,   82.81,   88.50,   87.12,   91.70,   93.28,   90.01,   88.38,   85.94,   87.46,   83.21,   90.78,   93.90,   87.19,   87.29,   89.81
 46,   80.17,   83.41,   86.53,   90.36,   85.13,   84.43,   80.49,   79.61,   78.60,   81.35,   87.10,   83.73,   85.59,   81.08,   88.49,   79.21
